Day,Time Slot,Room,Course,Course Code,Section(s),Teacher,Duration
Tue,10:00-11:30,F-307,Programming for AI (Python),CSXXXX,MCI-1A,TBA,90 min
Tue,11:30-13:00,C-1,Programming Fundamentals,CS1002,BCS-1E/3E,Ms. Namra Absar,90 min
Tue,11:30-13:00,C-13,Functional English,SS1012,BCS-1A/3A,Ms. Nokhaiz Zahra,90 min
Tue,11:30-13:00,C-14,Data Structures,CS2001,BCS-3C/5C,Dr. Saira Karim,90 min
Tue,11:30-13:00,C-2,Computer Organization and Assembly Language,EE2003,BCS-3F/5F,Ms. Aleena Ahmad,90 min
Tue,11:30-13:00,C-3,Discrete Structures,CS1005,BCS-3A/5A,Dr. Imran Farid Khan,90 min
Tue,11:30-13:00,C-4,Discrete Structures,CS1005,BCS-3D/5D,Ms. Rubab Janjua,90 min
Tue,11:30-13:00,C-5,Linear Algebra,MT1004,BCS-3E/5E,Dr. Muzamil Hanif VF,90 min
Tue,11:30-13:00,C-6,Applied Human Computer Interaction,CS3014,BCS-5B/7B,Ms. Sukhan Amir,90 min
Tue,11:30-13:00,C-7,Applied Human Computer Interaction,CS3014,BCS-5E/7E,Mr. Waqas Manzoor,90 min
Tue,11:30-13:00,D-11,Computer Architecture,CS4075,BCS-5D/7D,Ms. Saba Sajid,90 min
Tue,11:30-13:00,Eng Lab-1,Programming Fundamentals Lab,CL1002,BCS-1F/3F,Mr. Saifullah Tanvir,90 min
Tue,11:30-13:00,Eng Lab-2,Functional English Lab,SL1012,BAI-1A1,TBA,90 min
Tue,11:30-13:00,Eng Lab-3,Programming for AI - Lab,AL2001,BAI-3A,TBA,90 min
Tue,11:30-13:00,Eng Lab-4,Artificial Intelligence,AI2002,BDS-5A,Dr. Hajra Waheed,90 min
Tue,11:30-13:00,Eng Lab-5,Computer Networks,CS3001,BDS-7B,Ms. Umm-e-Ammarah,90 min
Tue,11:30-13:00,Eng Lab-6,Web Programming,CS4032,BDS-7A,Ms. Mahhek Tahir,90 min
Tue,11:30-13:00,F-201,Computer Networks,CS3001,BCS-5H/7H,Ms. Sarah Khaleel,90 min
Tue,11:30-13:00,F-202,Design and Anlysis of Algorithms,CS2009,BCS-5F/7F,Mr. Sajid Ali Kazmi,90 min
Tue,11:30-13:00,F-203,Design and Anlysis of Algorithms,CS2009,BCS-5G/7G,Mr. Usama Alvi,90 min
Tue,11:30-13:00,F-204,Software Engineering,CS3009,BCS-5C/7C,Mr. Zeeshan Nazar,90 min
Tue,11:30-13:00,F-205,Information Security,CS3002,BCS-7C/9C,Ms. Aqsa Khalid,90 min
Tue,11:30-13:00,F-206,Compiler Construction,CS4031,BCS-7A/9A,Mr. Aamir Raheem,90 min
Tue,11:30-13:00,F-207,Parallel and Distributed Computing,CS3006,BCS-7D/9D,Mr. Danyal Farhat,90 min
Tue,11:30-13:00,F-208,Parallel and Distributed Computing,CS3006,BCS-7G/9G,Mr. Mubashar Hussain,90 min
Tue,11:30-13:00,F-209,Design and Analysis of Algorithms,CS2009,BSE-5A/7A,Dr. Aasim Qureshi,90 min
Tue,11:30-13:00,F-210,Computer Organization and Assembly Language,EE2003,BCS-5M,TBA,90 min
Tue,11:30-13:00,F-301,Bioinformatics,CS4054,BCS-7B,Ms. Rushda Muneer,90 min
Tue,11:30-13:00,F-302,Digital Image Processing,CS4055,BCS-9A,Dr. Asif Gilani,90 min
Tue,11:30-13:00,F-303,Programming Fundamentals,CS1002,BSE-1B,Ms. Anosha Khan,90 min
Tue,11:30-13:00,F-304,Functional English,SS1012,BSE-1C,TBA,90 min
Tue,11:30-13:00,F-305,Understanding of Holy Quran II/Ethics II,SS1022,BSE-3A,TBA,90 min
Tue,11:30-13:00,F-306,Software Construction and Development,SE3005,BSE-5B,Mr. Arslan Asif,90 min
Tue,11:30-13:00,F-307,DevOps,CS4067,BSE-7B,Mr. Durraiz Waseem,90 min
Tue,11:30-13:00,F-308,Deep Learning for Perception,CS4045,BSE-7A,Mr. Saiful Islam,90 min
Tue,11:30-13:00,F-309,Software Construction and Development,SE3001,BSE-9A,TBA,90 min
Tue,11:30-13:00,F-310,Programming Fundamentals,CS1002,BDS-1C,TBA,90 min
Tue,11:30-13:00,F-311,Understanding Seerat-un-Nabi (PBUH),SS1019,BDS-1A,Dr. Adnan Faisal,90 min
Tue,11:30-13:00,F-312,Computer Organization and Assembly Language,EE2003,BDS-3B,Ms. Sana Fatima,90 min
Tue,11:30-13:00,Lab-1,MLOps for Cloud-Native Applications,AI5009,MDS-3A,Dr. Irfan Younas,90 min
Tue,11:30-13:00,Lab-13,MS Thesis-II,DS5092,MDS-9A,TBA,90 min
Tue,11:30-13:00,Lab-14,Reserved for Maths,RXXXX,MCS-3A,TBA,90 min
Tue,11:30-13:00,Lab-15,Understanding of Holy Quran I/Ethics I,SS1021,BCY-3A,Mr. Irfan Rana,90 min
Tue,11:30-13:00,Lab-16,Programming for AI (Python),CSXXXX,MCI-1A,TBA,90 min
Tue,11:30-13:00,S. Hall,Applied Physics (merged with SE),NS1001,BDS-3A,TBA,90 min
Tue,13:00-14:30,C-1,Calculus and Analytical Geometry,MT1003,BCS-1E/3E,Dr. Mazhar Hussain,90 min
Tue,13:00-14:30,C-13,Ideology and Consittution of Pakistan,SS1013,BCS-1F/3F,Muhammad Tahir Rahisd,90 min
Tue,13:00-14:30,C-14,Functional English,SS1012,BCS-1G/3G,Dr. Kulsoom,90 min
Tue,13:00-14:30,C-2,Data Structures,CS2001,BCS-3D/5D,Dr. Saira Karim,90 min
Tue,13:00-14:30,C-3,Computer Organization and Assembly Language,EE2003,BCS-3G/5G,Ms. Aleena Ahmad,90 min
Tue,13:00-14:30,C-4,Discrete Structures,CS1005,BCS-3F/5F,Ms. Rubab Janjua,90 min
Tue,13:00-14:30,C-5,Linear Algebra,MT1004,BCS-3E/5E,Dr. Muzamil Hanif VF,90 min
Tue,13:00-14:30,C-6,Applied Human Computer Interaction,CS3014,BCS-5C/7C,Ms. Sukhan Amir,90 min
Tue,13:00-14:30,C-7,Computer Architecture,CS4075,BCS-5D/7D,Ms. Saba Sajid,90 min
Tue,13:00-14:30,D-11,Design and Anlysis of Algorithms,CS2009,BCS-5A/7A,Dr. Tahir Ejaz,90 min
Tue,13:00-14:30,Eng Lab-1,Programming Fundamentals Lab,CL1002,BCS-1A/3A,TBA,90 min
Tue,13:00-14:30,Eng Lab-2,Data Structures Lab,CL2001,BCS-3C/5C,TBA,90 min
Tue,13:00-14:30,Eng Lab-3,Data Structures Lab,CL2001,BCS-3H/5H,TBA,90 min
Tue,13:00-14:30,Eng Lab-4,Computer Organization and Assembly Language Lab,EL2003,BCS-3A/5A,TBA,90 min
Tue,13:00-14:30,Eng Lab-5,Computer Networks Lab,CL3001,BCS-5G/7G,Ms. Sarah Khaleel,90 min
Tue,13:00-14:30,Eng Lab-6,Computer Networks Lab,CL3001,BCS-5H/7H,TBA,90 min
Tue,13:00-14:30,F-201,Software Engineering,CS3009,BCS-5B/7B,Ms. Lehmia Kiran,90 min
Tue,13:00-14:30,F-202,Software Engineering,CS3009,BCS-5E/7E,Mr. Zeeshan Nazar,90 min
Tue,13:00-14:30,F-203,Information Security,CS3002,BCS-7C/9C,Ms. Aqsa Khalid,90 min
Tue,13:00-14:30,F-204,Compiler Construction,CS4031,BCS-7A/9A,Mr. Aamir Raheem,90 min
Tue,13:00-14:30,F-205,Parallel and Distributed Computing,CS3006,BCS-7H/9H,Mr. Razi uddin,90 min
Tue,13:00-14:30,F-206,Parallel and Distributed Computing,CS3006,BCS-7J/9J,Mr. Mubashar Hussain,90 min
Tue,13:00-14:30,F-207,MLOps,CS4085,BCS-7B,Mr. Usman Anwer,90 min
Tue,13:00-14:30,F-208,Fundamentals of Software Project Management,CS4044,BCS-9A,Ms. Momna Zaneb,90 min
Tue,13:00-14:30,F-209,MS Thesis - I,CS5091,MCS-3A,TBA,90 min
Tue,13:00-14:30,F-210,Functional English,SS1012,BSE-1B,Ms Faseeha,90 min
Tue,13:00-14:30,F-301,Anthropology,XXXXX,BSE-1C,TBA,90 min
Tue,13:00-14:30,F-302,Data Structures,CS2001,BSE-3A,Mr. Waqas Ali,90 min
Tue,13:00-14:30,F-303,Software Quality Engineering,SE3002,BSE-5B,Dr. Ali Afzal Malik,90 min
Tue,13:00-14:30,F-304,DevOps,CS4067,BSE-7B,Mr. Durraiz Waseem,90 min
Tue,13:00-14:30,F-305,Deep Learning for Perception,CS4045,BSE-7A,Mr. Saiful Islam,90 min
Tue,13:00-14:30,F-306,Management and Organizational Behavior,MG4006,MSP-1A,TBA,90 min
Tue,13:00-14:30,F-307,MS Practicum - I,CS5087,MSP-3A,Dr. G. A. Farrukh,90 min
Tue,13:00-14:30,F-308,Functional English,SS1012,BDS-1C,TBA,90 min
Tue,13:00-14:30,F-309,Understanding Seerat-un-Nabi (PBUH),SS1019,BDS-1B,Dr. Adnan Faisal,90 min
Tue,13:00-14:30,F-310,Data Structures,CS2001,BDS-3A,Mr. Uzair Naqvi,90 min
Tue,13:00-14:30,F-311,Probability and Statistics,MT2005,BDS-3B,Ms. Sarah Ahmad,90 min
Tue,13:00-14:30,F-312,Data Warehousing and Business Intellligence,DS3004,BDS-5B,Mr. Ishaq Raza,90 min
Tue,13:00-14:30,Lab-1,Computer Organization and Assembly Language Lab,EL2003,BSE-3B,TBA,90 min
Tue,13:00-14:30,Lab-13,Software Construction and Development - Lab,SL3001,BSE-9A,TBA,90 min
Tue,13:00-14:30,Lab-14,Data Warehousing and Business Intelligence Lab,DS3004,BDS-5A,Ms. Eesha tur Razia,90 min
Tue,13:00-14:30,Lab-15,MS Thesis-II,DS5092,MDS-9A,TBA,90 min
Tue,13:00-14:30,Lab-16,Functional English,SS1012,BAI-1A,Zainab Mubarak,90 min
Tue,13:00-14:30,Lab-17,Programming for AI,AI2001,BAI-3A,Ms. Mahhek Tahir,90 min
Tue,13:00-14:30,Lab-18,Data Structures,CS2001,BCY-3A,Mr. Usama Alvi,90 min
Tue,13:00-14:30,Lab-2,Database and Operating Systems,CSXXXX,MCI-1A,TBA,90 min
Tue,13:00-14:30,Lab-3,Understanding of Holy Quran II/Ethics II,SS1022,,Mr. Naseer Ahmad,90 min
Tue,13:00-14:30,S. Hall,MLOps,CS4085,BDS-7A,Dr. Irfan Younas,90 min
Tue,14:30-16:00,C-1,Introduction to Information and Communication Technology,CL1000,BCS-1C/3C,Ms. Maham Naeem,90 min
Tue,14:30-16:00,C-13,Programming Fundamentals,CS1002,BCS-1A/3A,TBA,90 min
Tue,14:30-16:00,C-14,Calculus and Analytical Geometry,MT1003,BCS-1B/3B,Dr. Saeeda Zia,90 min
Tue,14:30-16:00,C-2,Calculus and Analytical Geometry,MT1003,BCS-1D/3D,Dr. Mazhar Hussain,90 min
Tue,14:30-16:00,C-3,Ideology and Consittution of Pakistan,SS1013,BCS-1E/3E,Muhammad Tahir Rahisd,90 min
Tue,14:30-16:00,C-4,Data Structures,CS2001,BCS-3B/5B,Dr. Zareen Alamgir,90 min
Tue,14:30-16:00,C-5,Discrete Structures,CS1005,BCS-3E/5E,Ms. Rubab Janjua,90 min
Tue,14:30-16:00,C-6,Linear Algebra,MT1004,BCS-3F/5F,Dr. Muhammad Rizwan VF,90 min
Tue,14:30-16:00,C-7,Linear Algebra,MT1004,BCS-3H/5H,VF,90 min
Tue,14:30-16:00,D-11,Computer Architecture,CS4075,BCS-5E/7E,Ms. Saba Sajid,90 min
Tue,14:30-16:00,Eng Lab-1,Data Structures Lab,CL2001,BCS-3D/5D,TBA,90 min
Tue,14:30-16:00,Eng Lab-2,Object Oriented Programming Lab,CL1004,BCS-3A,Ms. Mamoona Akbar,90 min
Tue,14:30-16:00,Eng Lab-3,Programming Fundamentals Lab,CL1002,BDS-1A,TBA,90 min
Tue,14:30-16:00,Eng Lab-4,Mathematics for Computational Intelligence,CSXXXX,MCI-1A,TBA,90 min
Tue,14:30-16:00,F-201,Design and Anlysis of Algorithms,CS2009,BCS-5G/7G,Mr. Usama Alvi,90 min
Tue,14:30-16:00,F-202,Software Engineering,CS3009,BCS-5C/7C,Mr. Zeeshan Nazar,90 min
Tue,14:30-16:00,F-203,Software Engineering,CS3009,BCS-5H/7H,Ms. Mehroze Khan,90 min
Tue,14:30-16:00,F-204,Technical and Business Writting,CSXXX,BCS-5A/7A,Hajra Ikram,90 min
Tue,14:30-16:00,F-205,Technical and Business Writting,CSXXX,BCS-5D/7D,Uzma Safdar,90 min
Tue,14:30-16:00,F-206,Compiler Construction,CS4031,BCS-7C/9C,Mr. Aamir Raheem,90 min
Tue,14:30-16:00,F-207,Data Analysis and Visualization,DS3001,BDS-5B/7B,Mr. Amir Iqbal,90 min
Tue,14:30-16:00,F-208,Web Programming,CS4032,BCS-7A,Ms. Mahhek Tahir,90 min
Tue,14:30-16:00,F-209,Data Science,CS4048,BCS-7B,Dr. Sobia Tariq Javed,90 min
Tue,14:30-16:00,F-210,MLOps,CS4085,BCS-9A,Mr. Usman Anwer,90 min
Tue,14:30-16:00,F-301,MS Thesis - I,CS5091,MCS-3A,TBA,90 min
Tue,14:30-16:00,F-302,Data Structures,CS2001,BSE-3B,Mr. Waqas Ali,90 min
Tue,14:30-16:00,F-303,Artificial Intelligence,AI2002,BSE-5B,Ms. Bushra Rashid,90 min
Tue,14:30-16:00,F-304,Information Security,CS3002,BSE-7B,Ms. Sarah Abid Khan,90 min
Tue,14:30-16:00,F-305,DevOps,CS4067,BSE-7A,Mr. Durraiz Waseem,90 min
Tue,14:30-16:00,F-306,Software Project Management,CS5015,MSP-1A,Dr. Ali Afzal Malik,90 min
Tue,14:30-16:00,F-307,Data Structures,CS2001,BDS-3B,Mr. Uzair Naqvi,90 min
Tue,14:30-16:00,F-308,Probability and Statistics,MT2005,BDS-3A,Ms. Sarah Ahmad,90 min
Tue,14:30-16:00,F-309,Artificial Intelligence,AI2002,BDS-5A,Dr. Hajra Waheed,90 min
Tue,14:30-16:00,F-310,MLOps,CS4085,BDS-7A,Dr. Irfan Younas,90 min
Tue,14:30-16:00,F-311,Programming Fundamentals,CS1002,BAI-1A,Dr. Mubasher Baig,90 min
Tue,14:30-16:00,F-312,Data Structures,CS2001,BAI-3A,Ms. Rida Hijab Basit,90 min
Tue,14:30-16:00,S. Hall,Offensive Security,CY5008,MCY-3A,Dr. Ammar Haider,90 min
Tue,16:00-17:30,C-1,Calculus and Analytical Geometry,MT1003,BCS-1E/3E,Dr. Mazhar Hussain,90 min
Tue,16:00-17:30,C-13,Bioinformatics,CS4054,BCS-7A,Ms. Rushda Muneer,90 min
Tue,16:00-17:30,C-14,MLOps,CS4085,BCS-9A,Mr. Usman Anwer,90 min
Tue,16:00-17:30,C-2,Statistical and Mathematical Methods for Data Science,DS5003,MDS-1A,Dr. Mubasher Baig,90 min
Tue,16:00-17:30,Eng Lab-1,Artificial Intelligence - Lab,AL2002,BDS-5A,Ms. Mamoona Akbar,90 min
Tue,17:30-19:00,C-1,Final Year Project - I,CS4091,BCS-7A,TBA,90 min
Tue,17:30-19:00,C-13,Programming Fundamentals,CS1002,BDS-1A,Dr. Mubasher Baig,90 min
Wed,08:30-10:00,C-1,Functional English,SS1012,BCS-1C/3C,Ms. Nokhaiz Zahra,90 min
Wed,08:30-10:00,C-13,Computer Organization and Assembly Language,EE2003,BCS-3E/5E,Ms. Aleena Ahmad,90 min
Wed,08:30-10:00,C-14,Computer Organization and Assembly Language,EE2003,BCS-3H/5H,Mr. Waqar Baig,90 min
Wed,08:30-10:00,C-2,Discrete Structures,CS1005,BCS-3B/5B,Dr. Imran Farid Khan,90 min
Wed,08:30-10:00,C-3,Discrete Structures,CS1005,BCS-3D/5D,Ms. Rubab Janjua,90 min
Wed,08:30-10:00,C-4,Applied Human Computer Interaction,CS3014,BCS-5A/7A,Ms. Sukhan Amir,90 min
Wed,08:30-10:00,C-5,Computer Architecture,CS4075,BCS-5B/7B,Dr. Zeeshan Ali Khan,90 min
Wed,08:30-10:00,C-6,Design and Anlysis of Algorithms,CS2009,BCS-5E/7E,Ms. Abeeda Akram,90 min
Wed,08:30-10:00,C-7,Software Engineering,CS3009,BCS-5C/7C,Mr. Zeeshan Nazar,90 min
Wed,08:30-10:00,D-11,Technical and Business Writting,CSXXX,BCS-5F/7F,Razm ul Zafar,90 min
Wed,08:30-10:00,Eng Lab-1,Functional English Lab,SL1012,BCS-1D1/3D1,TBA,90 min
Wed,08:30-10:00,Eng Lab-2,Functional English Lab,SL1012,BCS-1F1/3F1,TBA,90 min
Wed,08:30-10:00,Eng Lab-3,Computer Networks Lab,CL3001,BCS-5D/7D,TBA,90 min
Wed,08:30-10:00,Eng Lab-4,Functional Eng Lab,SL1012,BSE-1B1,TBA,90 min
Wed,08:30-10:00,Eng Lab-5,Data Structures Lab,CL2001,BDS-3A,TBA,90 min
Wed,08:30-10:00,Eng Lab-6,Computer Organization and Assembly Language  Lab,EL2003,BCY-3A2,TBA,90 min
Wed,08:30-10:00,F-201,Information Security,CS3002,BCS-7J/9J,Mr. Usman Aamer,90 min
Wed,08:30-10:00,F-202,Parallel and Distributed Computing,CS3006,BCS-7C/9C,Mr. Danyal Farhat,90 min
Wed,08:30-10:00,F-203,Data Science,CS4048,BCS-7A,Dr. Sobia Tariq Javed,90 min
Wed,08:30-10:00,F-204,Final Year Project - II,CS4092,BCS-9A,TBA,90 min
Wed,08:30-10:00,F-205,Anthropology,XXXXX,BSE-1A,Hamza Naeem,90 min
Wed,08:30-10:00,F-206,Technical and Business Writing,SS2012,BSE-5A,Iqra Rafiq,90 min
Wed,08:30-10:00,F-207,Technical and Business Writing,SS2012,BSE-5B,Huma Asif,90 min
Wed,08:30-10:00,F-208,Ideology and Constitution of Pakistan,SS1013,BDS-1C,TBA,90 min
Wed,08:30-10:00,F-209,Introduction to Data Science,DS2001,BDS-3B,Ms. Eesha tur Razia,90 min
Wed,08:30-10:00,F-210,Professional Practices in IT,CS4001,BDS-9A,TBA,90 min
Wed,08:30-10:00,F-301,Reserved for Maths,RXXXX,MCS-1A,TBA,90 min
Wed,08:30-10:00,F-302,Applied Physics,NS1001,BCY-1B,TBA,90 min
Wed,08:30-10:00,F-303,Functional English,SS1012,BCY-1A,Ms. Zakia Naeem,90 min
Wed,08:30-10:00,F-304,MS Thesis - I,CY5091,,TBA,90 min
Wed,08:30-10:00,F-305,MS Thesis - I & II,CY5091/502,,TBA,90 min
Wed,10:00-11:30,C-1,Calculus and Analytical Geometry,MT1003,BCS-1B/3B,Dr. Saeeda Zia,90 min
Wed,10:00-11:30,C-13,Ideology and Consittution of Pakistan,SS1013,BCS-1A/3A,Dr.Abdul Sattar,90 min
Wed,10:00-11:30,C-14,Linear Algebra,MT1004,BCS-3C/5C,Dr. Muzamil Hanif VF,90 min
Wed,10:00-11:30,C-2,Linear Algebra,MT1004,BCS-3D/5D,Dr. Akhlaq Ahmad Bhatti,90 min
Wed,10:00-11:30,C-3,Applied Human Computer Interaction,CS3014,BCS-5A/7A,Ms. Sukhan Amir,90 min
Wed,10:00-11:30,C-4,Computer Networks,CS3001,BCS-5D/7D,Mr. Nauman Moazzam Hayat,90 min
Wed,10:00-11:30,C-5,Computer Networks,CS3001,BCS-5F/7F,Ms. Umm-e-Ammarah,90 min
Wed,10:00-11:30,C-6,Design and Anlysis of Algorithms,CS2009,BCS-5C/7C,Dr. Aasim Qureshi,90 min
Wed,10:00-11:30,C-7,Software Engineering,CS3009,BCS-5E/7E,Mr. Zeeshan Nazar,90 min
Wed,10:00-11:30,D-11,Technical and Business Writting,CSXXX,BCS-5H/7H,Razm ul Zafar,90 min
Wed,10:00-11:30,Eng Lab-1,Programming Fundamentals Lab,CL1002,BCS-1C/3C,TBA,90 min
Wed,10:00-11:30,Eng Lab-2,Programming Fundamentals Lab,CL1002,BCS-1E/3E,TBA,90 min
Wed,10:00-11:30,Eng Lab-3,Programming Fundamentals Lab,CL1002,BSE-1A,TBA,90 min
Wed,10:00-11:30,Eng Lab-4,Programming Fundamental Lab,CL1002,BCY-1B,TBA,90 min
Wed,10:00-11:30,F-201,Information Security,CS3002,BCS-7B/9B,Dr. Ammar Haider,90 min
Wed,10:00-11:30,F-202,Information Security,CS3002,BCS-7D/9D,Ms. Aqsa Khalid,90 min
Wed,10:00-11:30,F-203,Information Security,CS3002,BCS-7J/9J,Mr. Usman Aamer,90 min
Wed,10:00-11:30,F-204,Parallel and Distributed Computing,CS3006,BCS-7C/9C,Mr. Danyal Farhat,90 min
Wed,10:00-11:30,F-205,Design and Analysis of Algorithms,CS2009,BDS-5B/7B,Mr. Sajid Ali Kazmi,90 min
Wed,10:00-11:30,F-206,Understanding Holy Quran - II /Ethics - II,SS1022,BCS-3B,TBA,90 min
Wed,10:00-11:30,F-207,Theory of Automata,CS3005,BCS-7A,Dr. Sobia Tariq Javed,90 min
Wed,10:00-11:30,F-208,Technical and Business Writing,SS2007,BCS-9A,TBA,90 min
Wed,10:00-11:30,F-209,Advanced Operating System,CSXXX,MCS-1A,Dr. Zeeshan Ali Khan,90 min
Wed,10:00-11:30,F-210,Applied Physics,NS1001,BSE-1C,TBA,90 min
Wed,10:00-11:30,F-301,Functional English,SS1012,BSE-1B,Ms Faseeha,90 min
Wed,10:00-11:30,F-302,Technical and Business Writing,SS2012,BSE-5B,Huma Asif,90 min
Wed,10:00-11:30,F-303,Understanding Holy Quran,SS1018,BSE-5A,Mr. Irfan Rana,90 min
Wed,10:00-11:30,F-304,Islamic Studies,SS1007,BDS-1C,TBA,90 min
Wed,10:00-11:30,F-305,Computer Organization and Assembly Language,EE2003,BDS-3B,Ms. Sana Fatima,90 min
Wed,10:00-11:30,F-306,Applied Physics (merged with SE),NS1001,BDS-3A,TBA,90 min
Wed,10:00-11:30,F-307,Final Year Project - II,DS4092,BDS-9A,TBA,90 min
Wed,10:00-11:30,F-308,Psychology,SS2019,BCY-1A,TBA,90 min
Wed,10:00-11:30,F-309,Applied Information Security,CY5005,MCY-1A,Dr. Faisal Aslam,90 min
Wed,11:30-13:00,C-1,Programming Fundamentals,CS1002,BCS-1E/3E,Ms. Namra Absar,90 min
Wed,11:30-13:00,C-13,Calculus and Analytical Geometry,MT1003,BCS-1C/3C,Dr. Saeeda Zia,90 min
Wed,11:30-13:00,C-14,Ideology and Consittution of Pakistan,SS1013,BCS-1A/3A,Dr.Abdul Sattar,90 min
Wed,11:30-13:00,C-2,Computer Organization and Assembly Language,EE2003,BCS-3G/5G,Ms. Aleena Ahmad,90 min
Wed,11:30-13:00,C-3,Computer Architecture,CS4075,BCS-5C/7C,Ms. Saba Sajid,90 min
Wed,11:30-13:00,C-4,Computer Networks,CS3001,BCS-5F/7F,Ms. Umm-e-Ammarah,90 min
Wed,11:30-13:00,C-5,Design and Anlysis of Algorithms,CS2009,BCS-5B/7B,Dr. Aasim Qureshi,90 min
Wed,11:30-13:00,C-6,Design and Anlysis of Algorithms,CS2009,BCS-5H/7H,Mr. Usama Alvi,90 min
Wed,11:30-13:00,C-7,Software Engineering,CS3009,BCS-5D/7D,Mr. Zeeshan Nazar,90 min
Wed,11:30-13:00,D-11,Software Engineering,CS3009,BCS-5G/7G,Ms. Mehroze Khan,90 min
Wed,11:30-13:00,Eng Lab-1,Database Systems Lab,CL2005,BCS-7A,TBA,90 min
Wed,11:30-13:00,Eng Lab-2,Computer Organization and Assembly Language Lab,EL2003,BDS-3A,TBA,90 min
Wed,11:30-13:00,Eng Lab-3,Computer Organization and Assembly Language Lab,EL2003,BDS-3B,TBA,90 min
Wed,11:30-13:00,F-201,Technical and Business Writting,CSXXX,BCS-5A/7A,Hajra Ikram,90 min
Wed,11:30-13:00,F-202,Technical and Business Writting,CSXXX,BCS-5E/7E,Uzma Safdar,90 min
Wed,11:30-13:00,F-203,Information Security,CS3002,BCS-7D/9D,Ms. Aqsa Khalid,90 min
Wed,11:30-13:00,F-204,Information Security,CS3002,BCS-7F/9F,Ms. Nosheen Manzoor,90 min
Wed,11:30-13:00,F-205,Information Security,CS3002,BCS-7H/9H,Mr. Usman Aamer,90 min
Wed,11:30-13:00,F-206,Compiler Construction,CS4031,BCS-7C/9C,Mr. Aamir Raheem,90 min
Wed,11:30-13:00,F-207,Compiler Construction,CS4031,BCS-7E/9E,Mr. Hamad ul Qudous,90 min
Wed,11:30-13:00,F-208,Compiler Construction,CS4031,BCS-7G/9G,Dr. Faisal Aslam,90 min
Wed,11:30-13:00,F-209,Understanding Holy Quran - II /Ethics - II,SS1022,BCS-3D,TBA,90 min
Wed,11:30-13:00,F-210,French Language,SS2031,BCS-9A,TBA,90 min
Wed,11:30-13:00,F-301,Applied Physics,NS1001,BSE-1A,Mr. Faizan Saleem VF,90 min
Wed,11:30-13:00,F-302,Calculus and Analytical Geometry,MT1003,BSE-1B,Dr. Muhammad Nasir Ali VF,90 min
Wed,11:30-13:00,F-303,Probability and Statistics,MT2005,BSE-3A,Ms. Kanwal Saleem,90 min
Wed,11:30-13:00,F-304,Software Quality Engineering,SE3002,BSE-5A,Dr. Ali Afzal Malik,90 min
Wed,11:30-13:00,F-305,Understanding of Holy Quran II/Ethics II,SS5016,MSP-3A,TBA,90 min
Wed,11:30-13:00,F-306,Introduction to Information and Communication Technology,CL1000,BDS-1C,TBA,90 min
Wed,11:30-13:00,F-307,Calculus and Analytical Geometry,MT1003,BDS-1A,Dr. Komal Hassan VF,90 min
Wed,11:30-13:00,F-308,Functional English,SS1012,BDS-1B,Ms Faseeha,90 min
Wed,11:30-13:00,F-309,Artificial Intelligence,AI2002,BDS-5B,Ms. Bushra Rashid,90 min
Wed,11:30-13:00,F-310,Chinese Language,SS2032,BDS-7A,Amna Latif,90 min
Wed,11:30-13:00,F-311,Understanding of Holy Quran II/Ethics II,SS1022,BCY-3A,TBA,90 min
Wed,11:30-13:00,F-312,Advanced Network Security,CY5006,MCY-1A,Dr. Arshad Ali,90 min
Wed,13:00-14:30,C-1,Programming Fundamentals,CS1002,BCS-1A/3A,TBA,90 min
Wed,13:00-14:30,C-13,Calculus and Analytical Geometry,MT1003,BCS-1F/3F,Mr. Waqar Azeem VF,90 min
Wed,13:00-14:30,C-14,Linear Algebra,MT1004,BCS-3G/5G,Dr. Muhammad Rizwan VF,90 min
Wed,13:00-14:30,C-2,Computer Architecture,CS4075,BCS-5G/7G,Mr. Junaid Hussain Muzammil,90 min
Wed,13:00-14:30,C-3,Design and Anlysis of Algorithms,CS2009,BCS-5C/7C,Dr. Aasim Qureshi,90 min
Wed,13:00-14:30,C-4,Software Engineering,CS3009,BCS-5E/7E,Mr. Zeeshan Nazar,90 min
Wed,13:00-14:30,C-5,Software Engineering,CS3009,BCS-5F/7F,Ms. Mehroze Khan,90 min
Wed,13:00-14:30,C-6,Technical and Business Writting,CSXXX,BCS-5B/7B,Hajra Ikram,90 min
Wed,13:00-14:30,C-7,Information Security,CS3002,BCS-7G/9G,Ms. Nosheen Manzoor,90 min
Wed,13:00-14:30,D-11,Compiler Construction,CS4031,BCS-7B/9B,Mr. Aamir Raheem,90 min
Wed,13:00-14:30,Eng Lab-1,Data Warehousing and Business Intelligence Lab,DS3004,BDS-7A/9A,TBA,90 min
Wed,13:00-14:30,Eng Lab-2,Computer Organization and Assembly Language Lab,EL2003,BSE-3A,TBA,90 min
Wed,13:00-14:30,Eng Lab-3,Computer Organization and Assembly Language Lab,EL2003,BSE-3C,TBA,90 min
Wed,13:00-14:30,Eng Lab-4,Programming Fundamental Lab,CL1002,BCY-1A,TBA,90 min
Wed,13:00-14:30,F-201,Compiler Construction,CS4031,BCS-7D/9D,Mr. Hamad ul Qudous,90 min
Wed,13:00-14:30,F-202,Parallel and Distributed Computing,CS3006,BCS-7E/9E,Mr. Danyal Farhat,90 min
